frequency_mhz,vmin_v,power_mw
10,0.385,0.135
20,0.425,0.34
30,0.45,0.5818
40,0.4625,0.8716
50,0.4875,1.164
60,0.5,1.4603
70,0.5125,1.7806
80,0.525,2.1371
90,0.5375,2.6359
100,0.55,2.943
110,0.55,3.3321
120,0.5625,3.7631
130,0.575,4.332
140,0.575,4.6922
150,0.5875,5.1843
160,0.5875,5.4464
170,0.6,5.9923
180,0.6125,6.6825
190,0.6125,7.0166
200,0.625,8.1754
210,0.6375,8.7285
220,0.65,9.0945
230,0.6625,10.1391
240,0.6875,11.8072
250,0.6875,11.8414
260,0.6875,11.8973
270,0.6875,12.9334
280,0.6875,12.8992
290,0.7125,15.1844
300,0.7125,15.2466
310,0.7125,15.1844
320,0.75,18.7481
330,0.75,18.7425
340,0.75,18.8169
350,0.75,18.7481
360,0.875,29.1046
370,0.875,29.1046
380,0.875,29.148
390,0.875,29.148
400,0.9,29.87
